harmstring,cuadriceps,t
-0.000184631368028931,-0.00295616942457855,1713350774.38058
-0.000247425254201516,-0.00293159997090697,1713350774.38132
-0.000254853803198785,-0.00294650509022176,1713350774.4044
-0.000198021953110583,-0.00290335225872695,1713350774.40539
-0.000209657577215694,-0.00294551951810718,1713350774.43244
-0.000237616724916734,-0.00293662445619702,1713350774.43366
-0.000236967636737972,-0.00293056620284915,1713350774.46468
-0.000235957922996022,-0.00291443499736488,1713350774.46586
-0.000230260324315168,-0.00293236924335361,1713350774.48033
-0.000213023246033117,-0.0029319366440177,1713350774.48126
-0.000228313030675054,-0.00290166959166527,1713350774.50455
-0.000213816587347537,-0.0029271284583956,1713350774.50579
-0.000198959533008747,-0.00295126507990062,1713350774.53299
-0.000186650780960917,-0.00289234169758856,1713350774.5344
-0.000194319713045843,-0.00294912559911609,1713350774.58484
-0.000196098713786341,-0.00295037566684186,1713350774.58609
-0.000206195734790526,-0.00296446331776679,1713350774.61307
-0.000231774873100221,-0.00297686830163002,1713350774.61437
-0.000272643810603768,-0.00296701164916158,1713350774.66105
-0.00029899223591201,-0.00295535195618868,1713350774.6886
-0.000315435958327726,-0.00294006220065057,1713350774.71247
-0.00033101424924098,-0.00295013515278697,1713350774.71368
-0.000350799615262076,-0.00297554605640471,1713350774.73638
-0.000335053046001121,-0.0029161658603698,1713350774.73718
-0.000303583976346999,-0.00290469848550856,1713350774.78865
-0.000291972392005846,-0.00290828058496118,1713350774.78986
-0.000259902299148962,-0.00290986732579768,1713350774.89675
-0.00024651171406731,-0.00289957807399333,1713350774.89781
-0.000254589336691424,-0.00291068479418755,1713350774.9525
-0.000274398742476478,-0.00292607070878148,1713350774.9535
-0.000307502574287355,-0.00293049402534962,1713350774.98068
-0.000320797000313178,-0.00294321146793663,1713350774.98148
-0.000313608878059313,-0.00291231949813664,1713350775.00849
-0.000314257980789989,-0.00291914702393115,1713350775.00922
-0.000316157180350274,-0.00291255977936089,1713350775.03733
-0.000319234357448295,-0.00291340122930706,1713350775.03886
-0.000317840022034943,-0.0028846247587353,1713350775.10028
-0.000317479396471754,-0.00287974462844431,1713350775.10139
-0.000305074499920011,-0.00287488824687898,1713350775.13643
-0.000293390796286985,-0.00287741259671748,1713350775.13773
-0.000271321565378457,-0.00287346984259784,1713350775.19676
-0.00025983017985709,-0.00286041595973074,1713350775.19782
-0.000234010643907823,-0.00284486170858145,1713350775.21666
-0.000244155758991837,-0.00282846600748599,1713350775.21775
-0.00026617688126862,-0.00282211927697062,1713350775.24496
-0.000267475086729974,-0.00281336857005954,1713350775.24607
-0.000274110265308991,-0.00281062792055309,1713350775.27267
-0.000282139808405191,-0.00281327241100371,1713350775.29659
-0.000269879121333361,-0.00280776713043451,1713350775.32043
-0.000260286964476109,-0.00280069932341576,1713350775.32113
-0.000244756753090769,-0.00279117911122739,1713350775.34515
-0.000239131273701787,-0.00278048100881279,1713350775.34649
-0.000232616293942556,-0.00277249957434833,1713350775.36897
-0.000237015716265887,-0.00277870218269527,1713350775.37027
-0.000224851202801801,-0.00279608345590532,1713350775.39261
-0.000219514200580306,-0.00279560266062617,1713350775.39398
-0.000198478723177686,-0.00280959415249526,1713350775.42442
-0.000187660480150953,-0.00281747942790389,1713350775.42515
-0.000183140859007835,-0.00282959593459964,1713350775.44837
-0.000180424278369173,-0.00283151911571622,1713350775.44984
-0.000171000385307707,-0.00283764954656363,1713350775.5097
-0.000166408644872718,-0.00283337035216391,1713350775.51052
-0.000178356785909273,-0.00283603882417083,1713350775.53279
-0.000162922762683593,-0.00283022108487785,1713350775.53416
-0.000287741248030215,-0.00281180604360998,1713350775.56878
-5.34180871909484E-05,-0.00282329740002751,1713350775.56958
-0.000129650652525015,-0.00281832087785006,1713350775.61644
-0.000118327552627306,-0.00277814920991659,1713350775.61797
-0.000139771713293158,-0.0027600466273725,1713350775.71623
-0.000147584898513742,-0.00278730853460729,1713350775.71728
-0.000173139997059479,-0.00278978468850255,1713350775.73641
-0.000251271761953831,-0.00277750007808208,1713350775.73729
-8.15695602796041E-05,-0.0027879576664418,1713350775.76426
-0.000141166063258424,-0.00278206774964929,1713350775.76553
-0.000146599224535748,-0.00275333924219012,1713350775.81293
-0.000133160574478097,-0.00274095847271383,1713350775.86053
-0.000209681616979651,-0.00276480661705136,1713350775.88859
-6.81549427099526E-05,-0.00273915543220937,1713350775.8894
-0.000265648006461561,-0.00275627220980823,1713350775.93637
-6.15197495790198E-05,-0.0027779086958617,1713350775.93702
-0.000178284666617401,-0.0027934149838984,1713350775.96468
-0.000344356725690886,-0.00279966555535793,1713350775.96593
-0.000184775606612675,-0.00280293496325612,1713350776.02444
-0.000198021953110583,-0.00279247737489641,1713350776.0251
-0.000131189241074026,-0.00276502314954996,1713350776.04833
-0.000303608016110957,-0.0028190421871841,1713350776.04899
-0.000243987466092221,-0.00281714298762381,1713350776.08053
-0.000177419206011109,-0.00281026726588607,1713350776.08158
-0.000187035417184234,-0.00281897000968456,1713350776.10469
-0.000194319713045843,-0.00284296250902116,1713350776.10558
-0.000201940565602854,-0.00282757659442723,1713350776.12853
-0.0001943437528098,-0.00277437479235232,1713350776.12979
-0.000196868000784889,-0.00281183002516627,1713350776.16041
-0.000192107982002199,-0.0028389235958457,1713350776.16141
-0.000172394735272974,-0.00277112936601043,1713350776.19253
-0.000157850197865628,-0.00272706313990057,1713350776.19325
-0.000175351713551208,-0.00287462398409843,1713350776.21251
-0.000135324211441912,-0.00274708890356123,1713350776.21321
-0.00015042167797219,-0.00278540933504701,1713350776.26104
-0.000155518268002197,-0.00284402025863528,1713350776.2624
-0.000165999954333529,-0.00284709734842181,1713350776.31249
-0.000151359257870354,-0.00279036187566817,1713350776.31352
-0.000151599670061842,-0.00280723813921213,1713350776.35669
-0.000143257595482282,-0.00283671193756163,1713350776.35777
-0.000146190548548475,-0.00283466838300228,1713350776.39245
-0.000174173736013472,-0.0028313749935478,1713350776.39332
-0.000202229042770341,-0.0028395967092365,1713350776.43693
-0.000208575744181871,-0.00283459643833339,1713350776.43876
-0.000227543743676506,-0.00282072508707643,1713350776.46436
-0.000213095365324989,-0.00281954696401954,1713350776.46518
-0.000265864364337176,-0.00280098780058324,1713350776.51271
-0.000269302166998386,-0.00279473722912371,1713350776.51363
-0.000263941125012934,-0.0027856738306582,1713350776.54028
-0.000253651756793261,-0.00278290919959545,1713350776.54106
-0.000247088697506115,-0.00277225929312408,1713350776.58835
-0.000250670738751069,-0.00277504790574312,1713350776.58934
-0.00026009464636445,-0.00277444696985185,1713350776.6366
-0.000258387764915824,-0.00277387001551688,1713350776.63805
-0.000263075664406642,-0.00277317268773913,1713350776.66887
-0.0002652152616065,-0.00277920695953071,1713350776.67009
-0.000271754310233518,-0.00277622602880001,1713350776.6924
-0.000274711288511753,-0.00277127348817885,1713350776.69303
-0.000275745027465746,-0.00275533460080624,1713350776.74068
-0.000274230464128777,-0.00274906004779041,1713350776.74176
-0.000269470445346087,-0.00275983032770455,1713350776.76432
-0.000267258728854358,-0.00275682518258691,1713350776.76501
-0.00026141686248593,-0.00274716084823012,1713350776.81676
-0.000253050762694329,-0.00275687337853014,1713350776.81794
-0.000271345605142415,-0.00274944468401372,1713350776.84475
-0.000283245666651055,-0.00275603192858398,1713350776.84604
-0.000277932704193518,-0.00275795510970056,1713350776.94829
-0.000273966026725247,-0.00275853206403553,1713350776.95
-0.000274086225545034,-0.00274595897644758,1713350776.97695
-0.000273893907433376,-0.00274283369071782,1713350776.97805
-0.000263436260866001,-0.00273954006843269,1713350777.00537
-0.00026009464636445,-0.00272807269357145,1713350777.00659
-0.000255046121310443,-0.00272321654483676,1713350777.02889
-0.000252642057603225,-0.00272417813539505,1713350777.03014
-0.000244780821958557,-0.0027214374858886,1713350777.06958
-0.000239371685893275,-0.00272170198149979,1713350777.07002
-0.000222567352466285,-0.00272867362946272,1713350777.14465
-0.000222663511522114,-0.00273444340564311,1713350777.14624
-0.000218552580918185,-0.00276504713110626,1713350777.15238
-0.000215571548324078,-0.00274797831661999,1713350777.15321
-0.000219995010411367,-0.00279230903834105,1713350777.18071
-0.000211965467315167,-0.00280545931309462,1713350777.18203
-0.000210450918530114,-0.00281572458334267,1713350777.23268
-0.000203839765163138,-0.00281889783218503,1713350777.23378
-0.000196483364561573,-0.00282690348103642,1713350777.28097
-0.000196651642909274,-0.0028336588293314,1713350777.28201
-0.000201916525838897,-0.00283464440144598,1713350777.31292
-0.000189655838767067,-0.00281940284185112,1713350777.31369
-0.00020607553597074,-0.00281183002516627,1713350777.33629
-0.000226822521653958,-0.00280591589398682,1713350777.33733
-0.000178885675268248,-0.0027785818092525,1713350777.36075
-0.000184487129445188,-0.00277177849784493,1713350777.36199
-0.000180736795300618,-0.00274571846239269,1713350777.4167
-0.000148474398883991,-0.00273970840498805,1713350777.41799
-0.000166072073625401,-0.00275038229301572,1713350777.47293
-0.000171216743183322,-0.00274345860816538,1713350777.47438
-0.000197276691324078,-0.00273367413319647,1713350777.49671
-0.000218480447074398,-0.00273333769291639,1713350777.4979
-8.98395082913339E-05,-0.0026912426110357,1713350777.53254
-0.000297597871394828,-0.00274576665833592,1713350777.53388
-0.000136261791340075,-0.00271021062508225,1713350777.58446
-0.000167971273185685,-0.00267109670676291,1713350777.58527
-0.000294087949441746,-0.00268451124429703,1713350777.60874
-0.000120010387036018,-0.00272047589533031,1713350777.60998
-0.000165422970894724,-0.00274360296316445,1713350777.6606
-0.000214922460145317,-0.00276112859137356,1713350777.66166
-0.000253363279625773,-0.00274353078566492,1713350777.71244
-0.000201459755771793,-0.00275240186601877,1713350777.71313
-0.000121044133265968,-0.00278615462593734,1713350777.73701
-0.000211965467315167,-0.00275855604559183,1713350777.73822
-0.00020665250485763,-0.00272138952277601,1713350777.78456
-0.000235501152928919,-0.0027525220066309,1713350777.78597
-0.000282091728877276,-0.00274893990717828,1713350777.80445
-0.000255478837061673,-0.00273023638874292,1713350777.80538
-0.000291251169983298,-0.00275583961047232,1713350777.90853
-0.00020713331468869,-0.00275567127391696,1713350777.90962
-0.000246103038080037,-0.00276115257292986,1713350777.96101
-0.000268052041064948,-0.00275062280707061,1713350777.96242
-0.00023562136630062,-0.00276538357138634,1713350777.98096
-0.0002491561754141,-0.00274761766195297,1713350777.9818
-0.000254757644142956,-0.00276225828565657,1713350778.0085
-0.000257618463365361,-0.00275290664285421,1713350778.04452
-0.000254709564615041,-0.00271150888875127,1713350778.09647
-0.000260335044004023,-0.00278060138225555,1713350778.09763
-0.000242376758251339,-0.00275682518258691,1713350778.14887
-0.000238914915826172,-0.00276754726655781,1713350778.14995
-0.000231678714044392,-0.00277634616941214,1713350778.18518
-0.000212205879506655,-0.00278302934020758,1713350778.18602
-0.000196940134628676,-0.00281190220266581,1713350778.23746
-0.000190088569070213,-0.00282125384546816,1713350778.23878
-0.000205546646611765,-0.00282262428663671,1713350778.24473
-0.000229683340876363,-0.00280822394415736,1713350778.24595
-0.000267907802481204,-0.00279533816501498,1713350778.27248
-0.000267787603661418,-0.00279055419377983,1713350778.27318
-0.000269278127234429,-0.0027818032540381,1713350778.30073
-0.000284495792584494,-0.00279089063405991,1713350778.30241
-0.000311661598971114,-0.0027902415022254,1713350778.32487
-0.000307310256175697,-0.00279062613844872,1713350778.32596
-0.000267619325313717,-0.00278771738521755,1713350778.34481
-0.000247689720708877,-0.00278675579465926,1713350778.34583
-0.000265022943494841,-0.00278548151254654,1713350778.40072
-0.000264205562416464,-0.00279336678795516,1713350778.40185
-0.000267378927674144,-0.00279726134613156,1713350778.42154
-0.000265912443865091,-0.00280401669442654,1713350778.42185
-0.000262017885688692,-0.00281731132417917,1713350778.44436
