biceps,triceps,t
-0.00617522234097123,-0.000100753917649854,1713350786.04093
-0.00643894681707025,-0.00012431365030352,1713350786.04229
-0.00597979640588164,-4.8778259952087E-05,1713350786.10145
-0.00634302524849772,-0.000134651083499193,1713350786.10275
-0.00638394197449088,-0.000124794460134581,1713350786.10425
-0.00574165116995573,-2.0795068849111E-05,1713350786.10587
-0.00604670122265816,-6.90203960402869E-05,1713350786.1532
-0.00628172187134624,-0.000132487431983463,1713350786.15476
-0.00615711975842714,-0.000100609671790153,1713350786.18107
-0.00600741896778345,-8.43101806822233E-05,1713350786.18278
-0.00606283266097307,-9.07290086615831E-05,1713350786.23273
-0.00617579929530621,-0.000122342316899449,1713350786.23408
-0.00625508464872837,-0.000122414450743236,1713350786.28114
-0.00595061155036092,-0.00010142705286853,1713350786.28255
-0.00597715191543102,-3.35125150741078E-05,1713350786.30502
-0.006011962890625,-0.000122967379866168,1713350786.30648
-0.00643947580829263,-0.000182275398401544,1713350786.3571
-0.00520886434242129,7.93097497080453E-05,1713350786.35872
-0.00582031160593033,-8.56804981594905E-05,1713350786.38075
-0.00625857058912516,-0.000161961143021472,1713350786.38238
-0.00587899470701814,-5.99330742261372E-05,1713350786.43256
-0.00577078806236386,2.43771100940648E-05,1713350786.43349
-0.00627301912754774,-0.00013044397928752,1713350786.48075
-0.00581735465675592,-3.00506781059084E-05,1713350786.51334
-0.00492872018367052,5.14227212988772E-05,1713350786.55672
-0.00575251737609506,-9.3133065092843E-05,1713350786.55779
-0.00612406386062503,-7.95501546235755E-05,1713350786.58497
-0.00601078476756811,-8.48390773171559E-05,1713350786.58641
-0.00641031470149756,-0.000167153892107308,1713350786.59301
-0.00567618850618601,-3.887355705956E-05,1713350786.59451
-0.00582197029143572,-3.71185997209977E-05,1713350786.63684
-0.00607869913801551,-0.000108567088318523,1713350786.63782
-0.00594645226374269,-0.000100994322565384,1713350786.68065
-0.00624436279758811,-0.000128953470266424,1713350786.68193
-0.00629691546782851,-0.000143329714774154,1713350786.70138
-0.0060556442476809,-0.000110971144749783,1713350786.7027
-0.00605018716305494,-0.000122775047202595,1713350786.78485
-0.00605535600334406,-0.000127607199829072,1713350786.78596
-0.00607353076338768,-0.00011981806892436,1713350786.79677
-0.00607316987589002,-9.30609385250136E-05,1713350786.79763
-0.00609285943210125,-0.000141526674269699,1713350786.84149
-0.00609807623550296,-0.000146382866660133,1713350786.84273
